Date,Close/Last,Open,High,Low
2020-01-16,58.52,58.1,58.87,57.56
2020-01-15,57.81,58.2,58.36,57.36
2020-01-14,58.23,58.03,58.72,57.72
2020-01-13,58.08,59.04,59.27,57.91
2020-01-10,59.04,59.61,59.78,58.85
2020-01-09,59.56,59.99,60.31,58.66
2020-01-08,59.61,59.91,60.46,59.84
2020-01-07,62.7,62.91,63.15,62.11
2020-01-06,63.27,63.71,64.72,62.64
2020-01-03,63.05,61.18,64.09,61.13
2020-01-02,61.18,61.6,61.6,60.64
2019-12-31,61.06,61.68,61.88,60.63
2019-12-30,61.68,61.71,62.34,61.09
2019-12-27,61.72,61.73,61.97,61.24
2019-12-26,61.68,61.2,61.83,61.06
2019-12-24,61.11,60.63,61.16,60.47
2019-12-23,60.52,60.41,60.77,60.1
2019-12-20,60.44,61.11,61.2,60.02
2019-12-19,61.18,60.81,61.4,60.69
2019-12-18,60.93,60.55,61.18,60.32
2019-12-17,60.94,60.23,61.06,60.03
2019-12-16,60.21,59.87,60.34,59.71
2019-12-13,60.07,59.36,60.48,59.27
2019-12-12,59.18,59.46,59.5,59.2
2019-12-11,58.76,58.8,58.87,58.79
2019-12-10,59.24,58.92,59.52,58.52
2019-12-09,59.02,59.11,59.25,58.23
2019-12-06,59.2,58.32,59.85,57.7
2019-12-05,58.33,58.36,59.12,58.1
2019-12-04,58.43,56.43,58.66,56.28
2019-12-03,56.1,55.96,56.8,55.35
2019-12-02,55.96,55.47,56.67,55.42
2019-11-29,55.17,58.2,58.3,55.02
2019-11-27,58.11,58.27,58.68,57.51
2019-11-26,58.41,57.92,58.56,57.76
2019-11-25,58.01,57.92,58.15,57.21
2019-11-22,57.77,58.31,58.74,57.5
2019-11-21,58.58,57.0,58.67,56.6
2019-11-20,57.11,55.16,57.25,54.76
2019-11-19,55.21,56.9,57.11,55.04
2019-11-18,57.05,57.88,58.09,56.55
2019-11-15,57.72,57.75,57.94,57.59
2019-11-14,56.77,57.39,57.79,56.63
2019-11-13,57.12,57.19,57.52,57.17
2019-11-12,56.8,56.89,57.55,56.54
2019-11-11,56.86,57.4,57.4,56.25
2019-11-08,57.24,57.08,57.48,55.76
2019-11-07,57.15,56.84,57.1,56.83
2019-11-06,56.35,56.34,56.58,56.29
2019-11-05,57.23,56.56,57.5,56.3
2019-11-04,56.54,56.41,57.43,55.83
2019-11-01,56.2,54.15,56.33,54.07
2019-10-31,54.18,54.9,55.59,53.71
2019-10-30,55.06,55.53,55.73,54.42
2019-10-29,55.54,55.8,55.91,54.61
2019-10-28,55.81,56.65,56.92,55.58
2019-10-25,56.66,56.71,56.74,56.57
2019-10-24,56.23,55.9,56.51,55.41
2019-10-23,55.97,54.3,56.07,53.62
2019-10-22,54.16,53.39,54.62,53.1
2019-10-21,53.31,53.71,54.03,52.71
2019-10-18,53.78,54.09,54.62,53.35
2019-10-17,53.93,52.99,54.16,52.62
2019-10-16,53.36,52.92,53.74,52.51
2019-10-15,52.81,53.51,53.79,52.39
2019-10-14,53.59,54.9,54.9,52.77
2019-10-11,54.7,53.88,54.93,53.64
2019-10-10,53.55,52.69,53.97,51.38
2019-10-09,52.59,52.58,52.75,52.51
2019-10-08,52.63,52.81,53.27,51.81
2019-10-07,52.75,52.76,53.07,52.71
2019-10-04,52.81,52.29,53.35,52.04
2019-10-03,52.45,52.47,52.91,50.99
2019-10-02,52.64,54.0,54.42,52.17
2019-10-01,53.62,54.28,54.84,53.05
2019-09-30,54.07,56.54,56.57,53.98
2019-09-27,55.91,56.51,56.76,54.75
2019-09-26,56.41,56.69,56.84,55.41
2019-09-25,56.49,56.7,57.02,55.55
2019-09-24,57.29,58.44,58.49,56.69
2019-09-23,58.64,59.25,59.39,57.37
2019-09-20,58.09,58.65,59.1,57.79
2019-09-19,58.13,58.2,59.54,58.01
2019-09-18,58.11,58.14,58.27,58.05
2019-09-17,59.34,61.25,61.29,58.46
2019-09-16,62.9,62.35,63.38,61.45
