Date,Close/Last,Open,High,Low,Volume
2020-04-06,22679.990234,21693.630859,22783.449219,21693.630859,610760000
2020-04-03,21052.529297,21285.929688,21447.810547,20863.089844,450010000
2020-04-02,21413.439453,20819.460938,21477.769531,20735.019531,529540000
2020-04-01,20943.509766,21227.380859,21487.240234,20784.429688,506680000
2020-03-31,21917.160156,22208.419922,22480.369141,21852.080078,571210000
2020-03-30,22327.480469,21678.220703,22378.089844,21522.080078,545540000
2020-03-27,21636.779297,21898.470703,22327.570313,21469.269531,588830000
2020-03-26,22552.169922,21468.380859,22595.060547,21427.099609,705180000
2020-03-25,21200.550781,21050.339844,22019.929688,20538.339844,796320000
2020-03-24,20704.910156,19722.189453,20737.699219,19649.25,799340000
2020-03-23,18591.929688,19028.359375,19121.009766,18213.650391,787970000
2020-03-20,19173.980469,20253.150391,20531.259766,19094.269531,872290000
2020-03-19,20087.189453,19830.009766,20442.630859,19177.130859,780300000
2020-03-18,19898.919922,20188.689453,20489.330078,18917.460938,871360000
2020-03-17,21237.380859,20487.050781,21379.349609,19882.259766,793060000
2020-03-16,20188.519531,20917.529297,21768.279297,20116.460938,770130000
2020-03-13,23185.619141,21973.820313,23189.759766,21285.369141,843080000
2020-03-12,21200.619141,22184.710938,22837.949219,21154.460938,908260000
2020-03-11,23553.220703,24604.630859,24604.630859,23328.320313,663960000
2020-03-10,25018.160156,24453.0,25020.990234,23690.339844,654860000
2020-03-09,23851.019531,24992.359375,24992.359375,23706.070313,750430000
2020-03-06,25864.779297,25457.210938,25994.380859,25226.619141,599780000
2020-03-05,26121.279297,26671.919922,26671.919922,25943.330078,477370000
2020-03-04,27090.859375,26383.679688,27102.339844,26286.310547,457590000
2020-03-03,25917.410156,26762.470703,27084.589844,25706.279297,647080000
2020-03-02,26703.320313,25590.509766,26706.169922,25391.960938,637200000
2020-02-28,25409.359375,25270.830078,25494.240234,24681.009766,915990000
2020-02-27,25766.640625,26526.0,26775.310547,25752.820313,664980000
2020-02-26,26957.589844,27159.460938,27542.779297000005,26890.970702999995,472450000
2020-02-25,27081.359375,28037.65039100001,28149.199219,26997.61914100001,513270000
2020-02-24,27960.800781,28402.929688,28402.929688,27912.439452999995,452580000
2020-02-21,28992.410156,29146.529297000005,29146.529297000005,28892.699219,311210000
2020-02-20,29219.980469,29296.25,29368.449219,28959.650391000014,287780000
2020-02-19,29348.029297000005,29312.699219,29409.089844,29274.380859,240640000
2020-02-18,29232.189452999995,29282.779297000005,29330.160156,29116.810547000005,256600000
2020-02-14,29398.080077999995,29440.470702999995,29463.039063,29283.179688,231000000
2020-02-13,29423.310547000005,29436.029297000005,29535.400391000014,29345.929688,291150000
2020-02-12,29551.419922000005,29406.75,29568.570313,29406.75,309530000
2020-02-11,29276.339844,29390.710938,29415.390625,29210.470702999995,279540000
2020-02-10,29276.820313,28995.660156,29278.070313,28995.660156,250510000
2020-02-07,29102.509766000014,29286.919922000005,29286.919922000005,29056.980469,252860000
2020-02-06,29379.769531,29388.580077999995,29408.050781,29246.929688,263700000
2020-02-05,29290.849609,29048.730469,29308.890625,29000.849609,357540000
2020-02-04,28807.630859,28696.740234,28904.880859,28696.740234,332750000
2020-02-03,28399.810547000005,28319.650391000014,28630.390625,28319.650391000014,307910000
2020-01-31,28256.029297000005,28813.039063,28813.039063,28169.529297000005,403890000
2020-01-30,28859.439452999995,28640.160156,28879.710938,28489.759766000014,326850000
2020-01-29,28734.449219,28820.529297000005,28944.240234,28728.189452999995,302290000
2020-01-28,28722.849609,28594.279297000005,28823.230469,28575.75,330140000
2020-01-27,28535.800781,28542.490234,28671.789063,28440.470702999995,337270000
2020-01-24,28989.730469,29230.390625,29288.789063,28843.310547000005,380010000
2020-01-23,29160.089844,29111.019531,29190.470702999995,28966.980469,307060000
2020-01-22,29186.269531,29263.630859,29320.199219,29172.259766000014,283440000
2020-01-21,29196.039063,29269.050781,29341.210938,29146.470702999995,320640000
2020-01-17,29348.099609,29313.310547000005,29373.619141000014,29289.910156,321820000
2020-01-16,29297.640625,29131.949219,29300.320313,29131.949219,252110000
2020-01-15,29030.220702999995,28901.800781,29127.589844,28897.349609,260270000
2020-01-14,28939.669922000005,28895.5,29054.160156,28872.269531,287440000
2020-01-13,28907.050781,28869.009766000014,28909.910156,28819.429688,249830000
2020-01-10,28823.769531,28977.519531,29009.070313,28789.099609,237830000
2020-01-09,28956.900391000014,28851.970702999995,28988.009766000014,28844.310547000005,275060000
2020-01-08,28745.089844,28556.140625,28866.179688,28522.509766000014,291750000
2020-01-07,28583.679688,28639.179688,28685.5,28565.279297000005,258900000
2020-01-06,28703.380859,28465.5,28708.019531,28418.630859,252760000
2020-01-03,28634.880859,28553.330077999995,28716.310547000005,28500.359375,239590000
2020-01-02,28868.800781,28638.970702999995,28872.800781,28627.769531,251820000
2019-12-31,28538.439452999995,28414.640625,28547.349609,28376.490234,193340000
2019-12-30,28462.140625,28654.759766000014,28664.689452999995,28428.980469,181600000
2019-12-27,28645.259766000014,28675.339844,28701.660156,28608.980469,182280000
2019-12-26,28621.390625,28539.460938,28624.099609,28535.150391000014,155970000
2019-12-24,28515.449219,28572.570313,28576.800781,28503.210938,86150000
2019-12-23,28551.529297000005,28491.779297000005,28582.490234,28491.779297000005,223530000
2019-12-20,28455.089844,28608.640625,28608.640625,28445.599609,603780000
2019-12-19,28376.960938,28278.310547000005,28381.480469,28278.240234,262570000
2019-12-18,28239.279297000005,28291.439452999995,28323.25,28239.279297000005,289890000
2019-12-17,28267.160156,28221.75,28328.630859,28220.560547000005,286770000
2019-12-16,28235.890625,28191.669922000005,28337.490234,28191.669922000005,286770000
2019-12-13,28135.380859,28123.640625,28290.730469,28028.320313,250660000
2019-12-12,28132.050781,27898.339844,28224.949219,27859.86914100001,277740000
2019-12-11,27911.300781,27867.310547000005,27925.5,27801.800781,213510000
2019-12-10,27881.720702999995,27900.65039100001,27949.019531,27804.0,213250000
2019-12-09,27909.599609,27987.050781,28010.419922000005,27906.140625,217000000
2019-12-06,28015.060547000005,27839.679688,28035.849609,27839.679688,223310000
2019-12-05,27677.789063,27736.050781,27745.199219,27562.800781,208600000
2019-12-04,27649.779297000005,27634.630859,27727.449219,27612.080077999995,218200000
2019-12-03,27502.810547000005,27501.980469,27524.740234,27325.130859,275350000
2019-12-02,27783.039063,28109.740234,28109.839844,27782.349609,236610000
2019-11-29,28051.410156,28103.160156,28119.50976600001,28042.529297000005,120630000
2019-11-27,28164.0,28156.470702999995,28174.970702999995,28075.230469,198210000
2019-11-26,28121.679688,28080.75,28146.019531,28042.210938,324050000
2019-11-25,28066.470702999995,27917.769531,28068.689452999995,27917.769531,248420000
2019-11-22,27875.61914100001,27831.230469,27898.460938,27773.980469,214780000
2019-11-21,27766.289063,27820.279297000005,27828.330077999995,27708.339844,232020000
2019-11-20,27821.089844,27879.550781,27897.279297000005,27675.279297000005,258140000
2019-11-19,27934.019531,28079.75976600001,28090.210938,27894.519531,245890000
2019-11-18,28036.220702999995,27993.220702999995,28040.970702999995,27969.240234,252320000
2019-11-15,28004.890625,27843.539063,28004.890625,27843.539063,283720000
2019-11-14,27781.960938,27757.199219,27800.710938,27676.970702999995,303970000
2019-11-13,27783.589844,27622.039063,27806.40039100001,27587.199219,278390000
2019-11-12,27691.490234,27701.589844,27770.859375,27635.320313,213670000
2019-11-11,27691.490234,27580.660156,27714.390625,27517.669922000005,202350000
2019-11-08,27681.240234,27686.199219,27694.949219,27578.970702999995,221440000
2019-11-07,27674.800781,27590.160156,27774.669922000005,27590.160156,259020000
2019-11-06,27492.560547000005,27502.740234,27526.050781,27407.810547000005,237910000
2019-11-05,27492.630859,27500.230469,27560.359375,27453.550781,286350000
2019-11-04,27462.109375,27402.060547000005,27517.580077999995,27402.060547000005,273030000
2019-11-01,27347.359375,27142.949219,27347.429688,27142.949219,270870000
2019-10-31,27046.230469,27188.36914100001,27188.36914100001,26918.289063,273830000
2019-10-30,27186.689452999995,27110.710938,27204.359375,26999.640625,231750000
2019-10-29,27071.460938,27061.070313,27165.939452999995,27039.75976600001,269610000
2019-10-28,27090.720702999995,27040.330077999995,27167.880859,27028.710938,290770000
2019-10-25,26958.060547000005,26789.609375,27015.36914100001,26765.679688,274610000
2019-10-24,26805.529297,26893.929688,26931.779297000005,26714.339844,253590000
2019-10-23,26833.949219,26835.240234,26896.890625,26745.0,247680000
2019-10-22,26788.099609,26850.429688,26946.640625,26782.609375,265510000
2019-10-21,26827.640625,26852.669922000005,26852.669922000005,26747.619141,241030000
2019-10-18,26770.199219,27004.490234,27018.25,26770.130859,288970000
2019-10-17,27025.880859,27032.380859,27112.160156,26970.289063,222540000
2019-10-16,27001.980469,26972.310547000005,27058.339844,26943.289063,214660000
2019-10-15,27024.800781,26811.199219,27120.109375,26811.199219,245510000
2019-10-14,26787.359375,26766.429688,26874.330077999995,26749.179688,178620000
2019-10-11,26816.589844,26694.199219,27013.970702999995,26694.199219,282080000
2019-10-10,26496.669922,26317.349609,26603.310547,26314.509766,217680000
2019-10-09,26346.009766,26308.230469,26424.310547,26249.75,190060000
2019-10-08,26164.039063,26276.589844,26421.810547,26139.800781,244590000
2019-10-07,26478.019531,26502.330078,26655.839844,26424.539063,195200000
2019-10-04,26573.720703,26271.699219,26590.740234,26271.699219,221310000
2019-10-03,26201.039063,26039.019531,26205.199219,25743.460938,241610000
2019-10-02,26078.619141,26425.859375,26438.039063,25974.119141,309640000
2019-10-01,26573.039063,26962.539063,27046.210938,26562.220703,260110000
2019-09-30,26916.830077999995,26852.330077999995,26998.859375,26852.330077999995,222680000
2019-09-27,26820.25,26987.25976600001,27012.539063,26715.820313,217780000
2019-09-26,26891.11914100001,27004.109375,27015.070313,26803.839844,229180000
2019-09-25,26970.710938,26866.710938,27016.560547000005,26755.859375,237220000
2019-09-24,26807.769531,27034.070313,27079.679688,26704.960938,301750000
2019-09-23,26949.990234,26851.449219,27011.070313,26831.339844,204240000
2019-09-20,26935.070313,27102.179688,27194.75,26926.679688,497640000
2019-09-19,27094.789063,27186.050781,27272.169922000005,27064.210938,212360000
2019-09-18,27147.080077999995,27075.390625,27161.929688,26899.15039100001,212860000
2019-09-17,27110.800781,27010.11914100001,27110.800781,26984.140625,223580000
2019-09-16,27076.820313,27146.060547000005,27172.86914100001,27032.560547000005,220620000
