Date,Close/Last,Open,High,Low
2020-02-24,372.25,376.25,376.25,370.0
2020-02-21,377.0,378.25,380.5,376.25
2020-02-20,378.5,380.25,380.25,378.25
2020-02-19,380.5,382.25,382.75,378.5
2020-02-18,383.0,378.5,383.25,378.0
2020-02-14,377.75,379.5,381.5,376.25
2020-02-13,379.5,382.25,382.75,379.0
2020-02-12,383.0,379.75,383.75,378.25
2020-02-11,379.75,381.0,382.0,378.0
2020-02-10,381.75,383.25,383.5,379.0
2020-02-07,383.5,380.25,385.0,380.0
2020-02-06,379.25,380.25,381.75,376.0
2020-02-05,380.75,381.5,383.25,379.5
2020-02-04,382.25,378.25,383.5,378.25
2020-02-03,378.75,380.5,382.0,376.5
2020-01-31,381.25,381.5,382.75,379.75
2020-01-30,379.5,384.5,385.0,378.5
2020-01-29,384.25,385.5,388.25,382.75
2020-01-28,386.5,382.5,387.0,378.5
2020-01-27,380.5,384.25,384.75,377.25
2020-01-24,387.25,393.25,393.25,386.5
2020-01-23,393.75,388.5,394.0,387.5
2020-01-22,388.75,387.5,391.0,386.75
2020-01-21,387.5,389.0,389.25,384.25
2020-01-17,389.25,377.0,389.5,376.75
2020-01-16,375.5,387.25,387.75,375.25
2020-01-15,387.5,388.75,390.25,386.5
2020-01-14,389.0,389.25,390.5,388.25
2020-01-13,389.5,388.5,389.5,388.25
2020-01-10,385.75,383.25,386.75,376.5
2020-01-09,383.25,383.75,387.0,382.25
2020-01-08,384.25,384.0,385.5,382.25
2020-01-07,384.5,385.0,385.75,383.5
2020-01-06,384.75,385.25,385.75,384.5
2020-01-03,386.5,391.5,392.0,385.5
2020-01-02,391.5,387.75,392.0,387.25
2019-12-31,387.75,388.25,389.75,386.25
2019-12-30,388.25,389.25,392.0,386.75
2019-12-27,390.0,388.0,391.0,388.0
2019-12-26,388.5,388.0,389.0,386.5
2019-12-24,387.5,388.5,389.0,387.0
2019-12-23,388.75,388.0,390.25,387.25
2019-12-20,387.75,386.5,389.5,386.0
2019-12-19,386.5,387.0,389.0,385.0
2019-12-18,387.0,389.25,390.0,385.75
2019-12-17,390.0,389.5,389.75,389.25
2019-12-16,388.0,383.5,389.5,383.25
2019-12-13,366.25,373.75,374.5,366.25
2019-12-12,367.0,358.25,368.75,358.25
2019-12-11,357.75,363.0,363.0,357.0
2019-12-10,363.25,365.75,367.0,362.5
2019-12-09,365.75,366.5,368.0,365.0
2019-12-06,366.5,366.25,367.25,364.75
2019-12-05,365.5,368.5,369.75,365.25
2019-12-04,368.75,371.75,373.5,367.75
2019-12-03,372.0,373.75,376.0,371.5
2019-12-02,373.5,374.5,375.5,371.5
2019-11-29,371.25,365.75,372.25,365.0
2019-11-27,362.75,367.25,368.75,362.25
2019-11-26,367.5,369.75,370.5,367.0
2019-11-25,370.5,368.75,372.75,368.25
2019-11-22,368.75,368.0,370.25,367.5
2019-11-21,368.5,366.75,369.75,366.25
2019-11-20,366.75,366.0,367.5,365.75
2019-11-19,370.0,367.75,373.0,367.75
2019-11-18,367.75,371.0,371.75,367.5
2019-11-15,371.25,375.5,376.5,370.75
2019-11-14,375.75,375.25,377.5,374.5
2019-11-13,375.25,377.0,377.75,375.0
2019-11-12,377.75,373.5,378.0,372.75
2019-11-11,373.25,376.0,377.0,372.5
2019-11-08,377.25,375.25,383.75,372.5
2019-11-07,375.25,379.25,380.0,373.75
2019-11-06,378.75,382.25,382.5,377.5
2019-11-05,381.75,383.25,384.75,380.5
2019-11-04,383.25,386.75,387.75,383.0
2019-11-01,389.25,389.25,391.75,386.25
2019-10-31,390.0,385.75,390.25,385.0
2019-10-30,390.75,385.75,391.25,385.25
2019-10-29,386.25,383.5,387.5,382.0
2019-10-28,384.0,386.0,386.5,383.25
2019-10-25,387.75,387.0,390.0,385.75
2019-10-24,386.75,388.5,390.75,385.25
2019-10-23,387.75,387.75,389.5,384.0
2019-10-22,388.0,387.0,392.5,385.0
2019-10-21,387.25,390.0,393.75,386.5
2019-10-18,391.0,394.0,395.75,389.75
2019-10-17,394.75,391.75,397.25,391.5
2019-10-16,391.75,392.0,392.75,387.5
2019-10-15,393.25,397.0,398.5,392.5
2019-10-14,397.25,401.25,402.5,393.25
2019-10-11,397.75,380.75,398.75,380.5
2019-10-10,380.25,392.75,395.0,378.25
2019-10-09,394.25,395.5,397.25,393.0
2019-10-08,395.75,387.5,396.5,386.0
2019-10-07,387.0,387.5,387.75,385.0
2019-10-04,384.75,388.0,389.0,383.75
2019-10-03,388.75,387.0,390.75,385.5
2019-10-02,387.75,390.5,391.75,385.5
2019-10-01,392.5,386.75,392.75,385.25
2019-09-30,388.0,372.0,388.25,371.5
2019-09-27,371.5,371.25,373.0,369.75
2019-09-26,372.5,373.5,375.75,368.25
2019-09-25,374.25,375.25,377.5,372.25
2019-09-24,374.75,372.0,376.0,370.25
2019-09-23,373.25,371.25,374.5,371.0
2019-09-20,370.75,372.75,374.5,369.5
2019-09-19,372.75,371.5,373.75,369.5
2019-09-18,371.25,367.75,372.0,365.75
2019-09-17,368.0,370.25,371.25,366.0
2019-09-16,374.0,372.0,374.75,367.5
